item,category,unit,unit_price
Paint,Finishes,sqft,120
Flooring,Finishes,sqft,280
Bed,Furniture,pcs,95000
Wardrobe,Furniture,pcs,145000
Side Table,Furniture,pcs,12500
LED Light,Electrical,pcs,1800
Curtain,Decor,pcs,14000
Sofa,Furniture,pcs,85000
Coffee Table,Furniture,pcs,18000
Dining Table,Furniture,pcs,65000
Study Desk,Furniture,pcs,25000
Wallpaper,Finishes,sqft,150
False Ceiling,Civil & Finishes,sqft,220
Kitchen Cabinet,Carpentry,sqft,1850
Quartz Countertop,Finishes,sqft,650
Chandelier,Lighting,pcs,32000
Rug,Decor,pcs,16000
